width,module,t,l1
64,tok_emb,0,0.796517014503479
64,pos_emb,0,0.8006819486618042
64,blocks.0.ln1,0,0.8027348518371582
64,blocks.0.attn.qkv,0,0.12891963124275208
64,blocks.0.attn.proj,0,0.002302787732332945
64,blocks.0.ln2,0,0.8027341365814209
64,blocks.0.mlp.fc,0,0.12557059526443481
64,blocks.0.mlp.proj,0,0.01006457582116127
64,blocks.1.ln1,0,0.802717387676239
64,blocks.1.attn.qkv,0,0.12599575519561768
64,blocks.1.attn.proj,0,0.002402766840532422
64,blocks.1.ln2,0,0.8027117252349854
64,blocks.1.mlp.fc,0,0.12684673070907593
64,blocks.1.mlp.proj,0,0.010493354871869087
64,ln_f,0,0.8027186393737793
64,head,0,0.4609224796295166
64,tok_emb,1,0.7965208292007446
64,pos_emb,1,0.800693929195404
64,blocks.0.ln1,1,0.8026606440544128
64,blocks.0.attn.qkv,1,0.12907053530216217
64,blocks.0.attn.proj,1,0.002540060319006443
64,blocks.0.ln2,1,0.8026339411735535
64,blocks.0.mlp.fc,1,0.12573054432868958
64,blocks.0.mlp.proj,1,0.010440397076308727
64,blocks.1.ln1,1,0.8027366399765015
64,blocks.1.attn.qkv,1,0.12609852850437164
64,blocks.1.attn.proj,1,0.0025433360133320093
64,blocks.1.ln2,1,0.8026400804519653
64,blocks.1.mlp.fc,1,0.12704811990261078
64,blocks.1.mlp.proj,1,0.010867485776543617
64,ln_f,1,0.8020263910293579
64,head,1,0.45731091499328613
64,tok_emb,2,0.7965251207351685
64,pos_emb,2,0.8007089495658875
64,blocks.0.ln1,2,0.8029245734214783
64,blocks.0.attn.qkv,2,0.12980124354362488
64,blocks.0.attn.proj,2,0.0030666585080325603
64,blocks.0.ln2,2,0.803036630153656
64,blocks.0.mlp.fc,2,0.12665122747421265
64,blocks.0.mlp.proj,2,0.011663622222840786
64,blocks.1.ln1,2,0.8030058741569519
64,blocks.1.attn.qkv,2,0.1267547309398651
64,blocks.1.attn.proj,2,0.002941141603514552
64,blocks.1.ln2,2,0.803000807762146
64,blocks.1.mlp.fc,2,0.12797141075134277
64,blocks.1.mlp.proj,2,0.012058095075190067
64,ln_f,2,0.8014405369758606
64,head,2,0.45389246940612793
64,tok_emb,3,0.7965297698974609
64,pos_emb,3,0.800726056098938
64,blocks.0.ln1,3,0.8034015893936157
64,blocks.0.attn.qkv,3,0.1310308575630188
64,blocks.0.attn.proj,3,0.0038290959782898426
64,blocks.0.ln2,3,0.8036272525787354
64,blocks.0.mlp.fc,3,0.12822522222995758
64,blocks.0.mlp.proj,3,0.0135391466319561
64,blocks.1.ln1,3,0.803458571434021
64,blocks.1.attn.qkv,3,0.12793795764446259
64,blocks.1.attn.proj,3,0.0035645500756800175
64,blocks.1.ln2,3,0.8035660982131958
64,blocks.1.mlp.fc,3,0.12955538928508759
64,blocks.1.mlp.proj,3,0.01389761921018362
64,ln_f,3,0.8009779453277588
64,head,3,0.4506840705871582
64,tok_emb,4,0.7965348958969116
64,pos_emb,4,0.8007452487945557
64,blocks.0.ln1,4,0.8039975166320801
64,blocks.0.attn.qkv,4,0.13271859288215637
64,blocks.0.attn.proj,4,0.004806716460734606
64,blocks.0.ln2,4,0.8042982816696167
64,blocks.0.mlp.fc,4,0.13039922714233398
64,blocks.0.mlp.proj,4,0.015908535569906235
64,blocks.1.ln1,4,0.8040369749069214
64,blocks.1.attn.qkv,4,0.12958689033985138
64,blocks.1.attn.proj,4,0.004416005685925484
64,blocks.1.ln2,4,0.8042243719100952
64,blocks.1.mlp.fc,4,0.13173599541187286
64,blocks.1.mlp.proj,4,0.01624137908220291
64,ln_f,4,0.8006432056427002
64,head,4,0.4476940333843231
64,tok_emb,0,0.797253429889679
64,pos_emb,0,0.7890148162841797
64,blocks.0.ln1,0,0.8013877868652344
64,blocks.0.attn.qkv,0,0.12850895524024963
64,blocks.0.attn.proj,0,0.002472730353474617
64,blocks.0.ln2,0,0.8013865947723389
64,blocks.0.mlp.fc,0,0.12666055560112
64,blocks.0.mlp.proj,0,0.010261322371661663
64,blocks.1.ln1,0,0.801399827003479
64,blocks.1.attn.qkv,0,0.12760676443576813
64,blocks.1.attn.proj,0,0.0022254600189626217
64,blocks.1.ln2,0,0.801409900188446
64,blocks.1.mlp.fc,0,0.12886321544647217
64,blocks.1.mlp.proj,0,0.010685957968235016
64,ln_f,0,0.8013719320297241
64,head,0,0.46115410327911377
64,tok_emb,1,0.7972620725631714
64,pos_emb,1,0.789016842842102
64,blocks.0.ln1,1,0.8014421463012695
64,blocks.0.attn.qkv,1,0.12863194942474365
64,blocks.0.attn.proj,1,0.002698411699384451
64,blocks.0.ln2,1,0.8012361526489258
64,blocks.0.mlp.fc,1,0.12672847509384155
64,blocks.0.mlp.proj,1,0.010616624727845192
64,blocks.1.ln1,1,0.8015385866165161
64,blocks.1.attn.qkv,1,0.12776896357536316
64,blocks.1.attn.proj,1,0.0023257508873939514
64,blocks.1.ln2,1,0.8014473915100098
64,blocks.1.mlp.fc,1,0.1290251463651657
64,blocks.1.mlp.proj,1,0.011072641238570213
64,ln_f,1,0.8006713390350342
64,head,1,0.45802682638168335
64,tok_emb,2,0.7972716093063354
64,pos_emb,2,0.7890176177024841
64,blocks.0.ln1,2,0.8017110824584961
64,blocks.0.attn.qkv,2,0.12929177284240723
64,blocks.0.attn.proj,2,0.003261738456785679
64,blocks.0.ln2,2,0.8016002774238586
64,blocks.0.mlp.fc,2,0.12755213677883148
64,blocks.0.mlp.proj,2,0.01182740367949009
64,blocks.1.ln1,2,0.8018480539321899
64,blocks.1.attn.qkv,2,0.12847667932510376
64,blocks.1.attn.proj,2,0.0027062930166721344
64,blocks.1.ln2,2,0.8018962144851685
64,blocks.1.mlp.fc,2,0.12993325293064117
64,blocks.1.mlp.proj,2,0.012277813628315926
64,ln_f,2,0.8000020980834961
64,head,2,0.4550502896308899
64,tok_emb,3,0.7972817420959473
64,pos_emb,3,0.7890192270278931
64,blocks.0.ln1,3,0.802159309387207
64,blocks.0.attn.qkv,3,0.13046520948410034
64,blocks.0.attn.proj,3,0.0041032941080629826
64,blocks.0.ln2,3,0.8021811842918396
64,blocks.0.mlp.fc,3,0.129063218832016
64,blocks.0.mlp.proj,3,0.013713100925087929
64,blocks.1.ln1,3,0.8023208975791931
64,blocks.1.attn.qkv,3,0.12967745959758759
64,blocks.1.attn.proj,3,0.0033287876285612583
64,blocks.1.ln2,3,0.8025215864181519
64,blocks.1.mlp.fc,3,0.13150793313980103
64,blocks.1.mlp.proj,3,0.014138837344944477
64,ln_f,3,0.7994089722633362
64,head,3,0.4522585868835449
64,tok_emb,4,0.7972921133041382
64,pos_emb,4,0.7890220284461975
64,blocks.0.ln1,4,0.8027269244194031
64,blocks.0.attn.qkv,4,0.1321171522140503
64,blocks.0.attn.proj,4,0.005204877816140652
64,blocks.0.ln2,4,0.8028475046157837
64,blocks.0.mlp.fc,4,0.13117818534374237
64,blocks.0.mlp.proj,4,0.016100680455565453
64,blocks.1.ln1,4,0.8029099702835083
64,blocks.1.attn.qkv,4,0.13134251534938812
64,blocks.1.attn.proj,4,0.00417561549693346
64,blocks.1.ln2,4,0.8032232522964478
64,blocks.1.mlp.fc,4,0.1336994767189026
64,blocks.1.mlp.proj,4,0.01650669425725937
64,ln_f,4,0.7989072799682617
64,head,4,0.4496702253818512
64,tok_emb,0,0.7943075895309448
64,pos_emb,0,0.8002403378486633
64,blocks.0.ln1,0,0.8011650443077087
64,blocks.0.attn.qkv,0,0.1269197165966034
64,blocks.0.attn.proj,0,0.002260796260088682
64,blocks.0.ln2,0,0.8011698722839355
64,blocks.0.mlp.fc,0,0.1273844838142395
64,blocks.0.mlp.proj,0,0.010467136278748512
64,blocks.1.ln1,0,0.8011797070503235
64,blocks.1.attn.qkv,0,0.12848006188869476
64,blocks.1.attn.proj,0,0.0022211147006601095
64,blocks.1.ln2,0,0.8011678457260132
64,blocks.1.mlp.fc,0,0.12768486142158508
64,blocks.1.mlp.proj,0,0.010504473000764847
64,ln_f,0,0.8011837005615234
64,head,0,0.4626314043998718
64,tok_emb,1,0.7943027019500732
64,pos_emb,1,0.8002445697784424
64,blocks.0.ln1,1,0.8013147711753845
64,blocks.0.attn.qkv,1,0.12698356807231903
64,blocks.0.attn.proj,1,0.0023856041952967644
64,blocks.0.ln2,1,0.8011925220489502
64,blocks.0.mlp.fc,1,0.12757766246795654
64,blocks.0.mlp.proj,1,0.010890131816267967
64,blocks.1.ln1,1,0.8011019229888916
64,blocks.1.attn.qkv,1,0.1286228597164154
64,blocks.1.attn.proj,1,0.002378148026764393
64,blocks.1.ln2,1,0.8011372089385986
64,blocks.1.mlp.fc,1,0.12787702679634094
64,blocks.1.mlp.proj,1,0.010904185473918915
64,ln_f,1,0.800447940826416
64,head,1,0.4589614272117615
64,tok_emb,2,0.7942978739738464
64,pos_emb,2,0.8002501130104065
64,blocks.0.ln1,2,0.8016221523284912
64,blocks.0.attn.qkv,2,0.12760357558727264
64,blocks.0.attn.proj,2,0.002848405856639147
64,blocks.0.ln2,2,0.8016541600227356
64,blocks.0.mlp.fc,2,0.12852078676223755
64,blocks.0.mlp.proj,2,0.0121383061632514
64,blocks.1.ln1,2,0.8013001084327698
64,blocks.1.attn.qkv,2,0.12929680943489075
64,blocks.1.attn.proj,2,0.002877769060432911
64,blocks.1.ln2,2,0.801496148109436
64,blocks.1.mlp.fc,2,0.12877987325191498
64,blocks.1.mlp.proj,2,0.012117371894419193
64,ln_f,2,0.7997558116912842
64,head,2,0.4554533362388611
64,tok_emb,3,0.7942929267883301
64,pos_emb,3,0.8002567291259766
64,blocks.0.ln1,3,0.802098274230957
64,blocks.0.attn.qkv,3,0.12873020768165588
64,blocks.0.attn.proj,3,0.0035830019041895866
64,blocks.0.ln2,3,0.8022711277008057
64,blocks.0.mlp.fc,3,0.13013219833374023
64,blocks.0.mlp.proj,3,0.014038437977433205
64,blocks.1.ln1,3,0.8017087578773499
64,blocks.1.attn.qkv,3,0.1304730772972107
64,blocks.1.attn.proj,3,0.003691287711262703
64,blocks.1.ln2,3,0.8020671010017395
64,blocks.1.mlp.fc,3,0.13033069670200348
64,blocks.1.mlp.proj,3,0.013967953622341156
64,ln_f,3,0.7991414666175842
64,head,3,0.45212846994400024
64,tok_emb,4,0.7942880392074585
64,pos_emb,4,0.8002641201019287
