name,parameterization,n_params,val_loss_final,wall_min,tok_per_sec,peak_MB
sp_tiny,sp,1049216,6.300075352191925,1.1,752007,3736
sp_small,sp,2754240,6.37254410982132,2.2,360295,4945
sp_medium,sp,6032640,6.380351662635803,3.7,218813,3438
sp_large,sp,16128384,6.534366071224213,8.3,96385,2838
sp_xl,sp,34089472,6.52932870388031,14.9,54090,2473
mup_tiny,mup,1573504,6.296513497829437,1.1,729444,3744
mup_small,mup,3540672,6.334037363529205,2.3,353245,4957
mup_medium,mup,7081216,6.405946791172028,3.7,216936,3454
mup_large,mup,17701248,6.370621621608734,8.4,95464,2862
mup_xl,mup,36186624,6.303792282938957,15.1,53217,2511
